trade_date,next_trade_date,code,name,pool_type,board,pct_chg,close,limit_price,amount,turnover,first_seal_time,last_seal_time,break_count,close_vs_limit,industry,action_score,risk_score,board_action_quality,broken_board_quality,next_day_premium_risk,realized_label,lhb_listed,lhb_net_buy,institution_net,tracked_seats,buy_concentration,sell_concentration,hist_n,hist_open_win_rate,hist_avg_open,strong_is_new_high,strong_volume_ratio,tech_ma5_dev,tech_ma10_dev,tech_gain5,decision_reason,data_gaps,data_lineage
2026-08-25,2026-08-26,000566,海南海药,涨停,1,9.955751419067383,4.97,,489612704.0,7.843836307525635,09:54:03,09:54:03,0,,化学制药,7,0,谨慎可打,,低/可控,T+1未到/行情缺失,False,,,,,,3,0.3333333333333333,-0.021046360225050575,,,1.3,-4.92,-6.05,收盘封住涨停；首次封板在10:30前；首板/低板位溢价弹性需依赖题材和封板质量；未炸板；换手处于可承接区间；所属行业在今日涨停/炸板热度前排：化学制药；今日涨停家数尚可；股性历史次日溢价偏弱：n=3 胜率33.3%,龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-25,2026-08-26,688169,石头科技,涨停,1,20.0,135.0,,2557389040.0,7.472938537597656,09:54:50,10:03:20,3,,小家电,5,2,谨慎可打,,中：需看集合竞价承接,T+1未到/行情缺失,True,102358590.48,-193453115.67000002,,0.2222239041694478,0.18219925775077628,,,,是,2.9763903617858887,12.21,16.67,11.75,收盘封住涨停；首次封板在10:30前；首板/低板位溢价弹性需依赖题材和封板质量；炸板次数3次，封板稳定性一般；换手处于可承接区间；成交额较大，具备市场辨识度；题材/行业热度一般：小家电；图形新高或强势池新高；今日涨停家数尚可；盘后龙虎榜净买入1.02亿，可改善次日风险；机构净卖出1.93亿,同股历史涨停溢价样本不足,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-25,2026-08-26,603318,水发燃气,涨停,1,9.989258766174316,10.24,,739024992.0,16.243764877319336,09:56:39,10:05:48,2,,燃气Ⅱ,4,1,不能打板,,低/可控,T+1未到/行情缺失,False,,,,,,2,0.5,0.00038675630738105315,否,1.3855063915252686,9.5,10.91,6.67,收盘封住涨停；首次封板在10:30前；首板/低板位溢价弹性需依赖题材和封板质量；炸板次数2次，可接受但需看承接；换手处于可承接区间；题材/行业热度一般：燃气Ⅱ；今日涨停家数尚可,同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-25,2026-08-26,600785,新华百货,涨停,3,9.990663528442383,11.78,,783600368.0,22.599348068237305,09:56:50,14:00:08,1,,一般零售,7,-1,谨慎可打,,低/可控,T+1未到/行情缺失,True,-18180516.62,0.0,,0.08001928386031407,0.10322054487146576,1,1.0,0.09958932238193019,否,7.385921955108643,18.18,24.17,28.46,收盘封住涨停；首次封板在10:30前；3板以上有辨识度；炸板次数1次，可接受但需看承接；所属行业在今日涨停/炸板热度前排：一般零售；今日涨停家数尚可；盘后龙虎榜净卖出0.18亿，次日风险上升,同股历史涨停溢价样本不足,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-25,2026-08-26,002703,浙江世宝,涨停,1,9.979209899902344,15.87,,1159846928.0,12.889159202575684,09:58:06,10:22:06,5,,汽车零部,3,0,不能打板,,低/可控,T+1未到/行情缺失,True,80055329.32,24444714.87,,0.18365314045528303,0.10332697670714346,2,0.5,0.019015071633141423,,,11.23,8.79,2.39,收盘封住涨停；首次封板在10:30前；首板/低板位溢价弹性需依赖题材和封板质量；炸板次数5次，封板稳定性一般；换手处于可承接区间；题材/行业热度一般：汽车零部；今日涨停家数尚可；盘后龙虎榜净买入0.80亿，可改善次日风险；机构净买入0.24亿,同股历史涨停溢价样本不足,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-25,2026-08-26,600936,北投科技,涨停,1,9.935205459594727,5.09,,477401360.0,5.7351484298706055,09:58:22,10:18:01,2,,IT服务Ⅱ,4,1,不能打板,,低/可控,T+1未到/行情缺失,False,,,,,,2,0.5,0.0031466820850383215,,,4.69,-1.6,3.67,收盘封住涨停；首次封板在10:30前；首板/低板位溢价弹性需依赖题材和封板质量；炸板次数2次，可接受但需看承接；换手处于可承接区间；题材/行业热度一般：IT服务Ⅱ；今日涨停家数尚可,同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-25,2026-08-26,000779,甘咨询,涨停,1,10.0,10.01,,608006768.0,13.598295211791992,09:58:30,09:58:30,0,,工程咨询,6,0,谨慎可打,,低/可控,T+1未到/行情缺失,False,,,,,,2,0.0,-0.03538490742068301,,,3.15,-2.29,-8.92,收盘封住涨停；首次封板在10:30前；首板/低板位溢价弹性需依赖题材和封板质量；未炸板；换手处于可承接区间；题材/行业热度一般：工程咨询；今日涨停家数尚可,同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-25,2026-08-26,002081,金 螳 螂,涨停,1,10.0,5.5,,1145819008.0,8.280413627624512,09:59:45,09:59:45,0,,装修装饰,6,0,谨慎可打,,低/可控,T+1未到/行情缺失,True,267802870.64,-6651118.02,,0.3002952338175909,0.11048962938830913,2,1.0,0.1556064073226544,否,0.46431857347488403,2.46,3.0,-12.28,收盘封住涨停；首次封板在10:30前；首板/低板位溢价弹性需依赖题材和封板质量；未炸板；换手处于可承接区间；题材/行业热度一般：装修装饰；今日涨停家数尚可；盘后龙虎榜净买入2.68亿，可改善次日风险；机构净卖出0.07亿,同股历史涨停溢价样本不足,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-25,2026-08-26,002418,康盛股份,涨停,1,10.05434799194336,4.05,,374789456.0,8.3206205368042,10:00:09,10:36:21,1,,家电零部,1,3,不能打板,,中：需看集合竞价承接,T+1未到/行情缺失,False,,,,,,,,,,,9.16,6.1,3.58,收盘封住涨停；首次封板偏晚；首板/低板位溢价弹性需依赖题材和封板质量；炸板次数1次，可接受但需看承接；换手处于可承接区间；题材/行业热度一般：家电零部；今日涨停家数尚可,同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-25,2026-08-26,603637,镇海股份,涨停,1,10.039215087890625,14.03,,162502906.0,4.995213508605957,10:01:28,10:03:04,1,,专业工程,1,3,不能打板,,中：需看集合竞价承接,T+1未到/行情缺失,False,,,,,,1,1.0,0.02227934875749793,否,1.088151216506958,5.24,3.63,1.23,收盘封住涨停；首次封板偏晚；首板/低板位溢价弹性需依赖题材和封板质量；炸板次数1次，可接受但需看承接；换手处于可承接区间；题材/行业热度一般：专业工程；今日涨停家数尚可,同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
